ID,sex,race,educ,yob,hhincome2021,parent_edu
2,male,hispanic,HS,1982,180000,BA or more
3,female,hispanic,BA,1983,75000,HS
5,male,hispanic,HS,1982,240000,HS
6,female,hispanic,HS,1982,65000,HS
8,female,nonblacknonhispanic,MA,1981,90000,HS
9,male,nonblacknonhispanic,MA,1982,130514,HS
10,male,nonblacknonhispanic,BA,1984,599728,HS
11,female,hispanic,BA,1982,93000,Some college
12,male,hispanic,GED,1981,167000,HS
14,male,hispanic,GED,1980,0,HS
16,male,hispanic,AA,1982,100000,less than HS
18,male,black,GED,1982,0,Some college
21,male,hispanic,GED,1982,30000,Some college
22,male,hispanic,HS,1982,65000,HS
23,female,hispanic,BA,1983,165326,less than HS
24,male,hispanic,None,1984,0,Some college
25,female,hispanic,GED,1983,0,HS
26,male,black,None,1980,0,HS
27,male,black,None,1981,51000,less than HS
28,female,black,BA,1983,60000,BA or more
31,male,nonblacknonhispanic,BA,1982,120000,HS
32,female,nonblacknonhispanic,BA,1981,207000,BA or more
33,female,nonblacknonhispanic,BA,1980,261880,BA or more
34,female,nonblacknonhispanic,BA,1984,0,BA or more
37,female,nonblacknonhispanic,BA,1980,160000,less than HS
38,female,nonblacknonhispanic,BA,1981,123486,less than HS
41,female,nonblacknonhispanic,BA,1983,255000,HS
45,female,black,AA,1984,46000,less than HS
46,male,black,GED,1984,22000,less than HS
47,female,black,HS,1982,22400,less than HS
48,female,black,BA,1983,76000,less than HS
49,female,black,HS,1982,96200,HS
50,female,black,GED,1983,36000,HS
51,male,black,HS,1980,56000,HS
52,male,black,HS,1983,125000,HS
54,female,black,AA,1984,40000,Some college
55,female,hispanic,BA,1981,82000,HS
56,female,nonblacknonhispanic,MA,1982,160500,BA or more
57,male,black,HS,1982,0,HS
58,male,black,AA,1983,120000,HS
59,female,black,AA,1981,60371,BA or more
60,male,nonblacknonhispanic,MA,1984,103571,Some college
61,female,black,AA,1983,67500,HS
62,male,black,BA,1980,95000,Some college
63,female,black,BA,1984,60200,Some college
65,male,black,BA,1984,5000,BA or more
67,male,black,PhD,1980,100000,BA or more
68,male,black,HS,1981,12000,BA or more
69,female,black,BA,1981,126000,BA or more
71,male,black,HS,1980,30000,Some college
75,male,nonblacknonhispanic,HS,1982,200000,less than HS
76,male,nonblacknonhispanic,HS,1982,120000,less than HS
79,male,hispanic,GED,1983,77500,Some college
80,male,black,GED,1981,0,Some college
81,female,black,None,1984,7500,HS
83,male,hispanic,GED,1981,51886,HS
85,male,nonblacknonhispanic,HS,1984,95000,HS
86,female,nonblacknonhispanic,MA,1980,126000,HS
88,male,nonblacknonhispanic,HS,1981,52000,HS
89,male,nonblacknonhispanic,MA,1981,276080,less than HS
90,male,hispanic,BA,1981,40000,BA or more
91,female,hispanic,BA,1982,190000,BA or more
92,male,nonblacknonhispanic,HS,1983,80,HS
102,female,hispanic,BA,1982,80000,HS
104,female,nonblacknonhispanic,BA,1980,150271,BA or more
105,male,nonblacknonhispanic,HS,1983,235000,BA or more
107,female,nonblacknonhispanic,MA,1982,370000,BA or more
108,male,nonblacknonhispanic,BA,1984,230000,BA or more
109,female,nonblacknonhispanic,BA,1982,599728,HS
110,female,nonblacknonhispanic,MA,1984,262000,HS
111,female,nonblacknonhispanic,BA,1981,0,Some college
112,female,nonblacknonhispanic,MA,1984,66750,HS
113,male,nonblacknonhispanic,HS,1984,150000,Some college
114,female,nonblacknonhispanic,BA,1982,99000,Some college
117,male,black,HS,1984,140000,HS
119,male,nonblacknonhispanic,BA,1982,125429,Some college
120,male,nonblacknonhispanic,PhD,1982,125000,BA or more
121,male,nonblacknonhispanic,HS,1981,100000,Some college
122,male,nonblacknonhispanic,HS,1984,102200,Some college
125,female,nonblacknonhispanic,BA,1984,100000,BA or more
126,male,nonblacknonhispanic,HS,1981,79000,HS
128,female,nonblacknonhispanic,BA,1982,19175,BA or more
130,female,nonblacknonhispanic,BA,1981,138000,BA or more
132,male,nonblacknonhispanic,BA,1983,123000,BA or more
133,male,nonblacknonhispanic,BA,1982,599728,BA or more
136,female,nonblacknonhispanic,MA,1983,115000,BA or more
137,female,nonblacknonhispanic,GED,1980,170000,HS
138,male,nonblacknonhispanic,AA,1984,218000,BA or more
142,female,nonblacknonhispanic,HS,1981,98171,Some college
143,male,black,HS,1981,45000,Some college
144,male,black,HS,1982,81000,BA or more
145,male,black,BA,1984,111250,BA or more
146,male,black,HS,1984,28000,HS
147,female,nonblacknonhispanic,HS,1984,219000,Some college
148,female,black,GED,1982,77500,HS
149,female,black,HS,1983,0,less than HS
155,male,nonblacknonhispanic,BA,1980,190100,BA or more
156,male,nonblacknonhispanic,ProfD,1982,599728,BA or more
157,female,hispanic,BA,1982,214500,HS
159,female,hispanic,HS,1980,72000,HS
160,female,hispanic,GED,1981,8000,less than HS
161,male,hispanic,None,1982,122700,less than HS
164,female,nonblacknonhispanic,HS,1981,121000,HS
166,female,nonblacknonhispanic,BA,1982,135000,Some college
167,male,hispanic,HS,1984,0,HS
169,female,nonblacknonhispanic,GED,1983,102000,BA or more
170,female,nonblacknonhispanic,BA,1984,137500,BA or more
171,female,hispanic,HS,1984,145000,HS
174,male,nonblacknonhispanic,BA,1983,110783,BA or more
175,female,nonblacknonhispanic,MA,1981,108000,BA or more
176,male,nonblacknonhispanic,BA,1982,148000,BA or more
177,female,nonblacknonhispanic,MA,1980,171114,BA or more
178,female,nonblacknonhispanic,MA,1980,170100,BA or more
181,female,nonblacknonhispanic,PhD,1982,175300,BA or more
182,female,nonblacknonhispanic,BA,1984,599728,BA or more
187,male,hispanic,BA,1983,165000,Some college
188,female,nonblacknonhispanic,BA,1980,220683,HS
191,male,nonblacknonhispanic,HS,1982,45000,BA or more
192,female,hispanic,HS,1982,79399,BA or more
193,female,black,HS,1981,62000,HS
194,female,hispanic,HS,1980,105000,Some college
195,male,black,HS,1983,45000,Some college
197,female,nonblacknonhispanic,MA,1981,240000,BA or more
198,female,nonblacknonhispanic,HS,1980,264000,HS
199,male,nonblacknonhispanic,BA,1982,90929,BA or more
201,female,nonblacknonhispanic,MA,1983,213000,BA or more
202,male,nonblacknonhispanic,GED,1982,138929,HS
203,female,nonblacknonhispanic,BA,1984,599728,HS
204,female,nonblacknonhispanic,HS,1981,169200,Some college
206,male,nonblacknonhispanic,BA,1982,107000,less than HS
213,female,hispanic,AA,1982,90000,HS
215,male,hispanic,BA,1981,112500,HS
216,female,hispanic,BA,1980,205000,less than HS
217,female,hispanic,HS,1982,30000,HS
219,male,multi,BA,1982,158129,BA or more
221,female,nonblacknonhispanic,AA,1984,70000,BA or more
222,male,hispanic,AA,1981,291000,HS
223,male,hispanic,AA,1981,250000,HS
224,female,nonblacknonhispanic,HS,1982,145286,HS
225,male,nonblacknonhispanic,HS,1980,112040,Some college
226,female,black,HS,1981,0,less than HS
228,male,nonblacknonhispanic,BA,1984,245000,Some college
230,male,hispanic,BA,1984,132000,HS
231,male,hispanic,GED,1980,27000,HS
232,male,hispanic,BA,1984,100000,HS
233,male,hispanic,HS,1980,68529,Some college
235,female,nonblacknonhispanic,BA,1981,74836,Some college
236,female,hispanic,AA,1984,2579,Some college
237,male,nonblacknonhispanic,BA,1983,125000,Some college
239,male,nonblacknonhispanic,HS,1980,85000,BA or more
240,female,nonblacknonhispanic,BA,1983,330000,BA or more
241,female,hispanic,MA,1983,215000,BA or more
242,male,hispanic,BA,1984,159204,BA or more
243,female,multi,HS,1983,65800,HS
244,male,hispanic,HS,1983,145750,HS
246,male,hispanic,MA,1980,124000,Some college
247,male,nonblacknonhispanic,BA,1982,144000,Some college
248,female,nonblacknonhispanic,BA,1983,89600,Some college
249,male,nonblacknonhispanic,HS,1981,36686,Some college
251,male,hispanic,BA,1982,200060,Some college
252,female,hispanic,MA,1984,90000,Some college
254,male,nonblacknonhispanic,HS,1981,265000,BA or more
255,female,nonblacknonhispanic,BA,1983,599728,BA or more
258,male,nonblacknonhispanic,BA,1982,74600,Some college
260,male,black,BA,1980,45100,Some college
263,male,black,GED,1983,175000,less than HS
265,male,hispanic,HS,1983,125171,less than HS
266,female,nonblacknonhispanic,AA,1980,37900,Some college
267,female,nonblacknonhispanic,MA,1980,92757,Some college
268,male,hispanic,AA,1981,127000,HS
271,female,nonblacknonhispanic,None,1982,35000,HS
272,female,hispanic,GED,1982,0,less than HS
273,female,hispanic,AA,1983,23043,HS
275,male,hispanic,GED,1980,0,less than HS
278,male,nonblacknonhispanic,HS,1980,153571,BA or more
280,male,nonblacknonhispanic,MA,1983,130000,BA or more
281,male,black,HS,1984,105000,less than HS
282,male,nonblacknonhispanic,HS,1980,0,Some college
283,male,nonblacknonhispanic,AA,1984,46000,Some college
284,female,black,AA,1981,60972,HS
285,male,nonblacknonhispanic,HS,1981,113000,less than HS
286,female,nonblacknonhispanic,BA,1984,110600,Some college
287,male,nonblacknonhispanic,HS,1980,88686,HS
288,female,nonblacknonhispanic,HS,1983,75000,HS
290,female,nonblacknonhispanic,HS,1984,135000,Some college
291,female,nonblacknonhispanic,HS,1980,10000,HS
292,female,black,HS,1984,48000,Some college
293,female,hispanic,BA,1983,208429,HS
294,male,hispanic,MA,1982,220000,HS
295,female,hispanic,AA,1984,163000,less than HS
296,female,hispanic,BA,1981,82000,Some college
298,female,nonblacknonhispanic,HS,1983,76050,BA or more
299,male,nonblacknonhispanic,HS,1981,182743,HS
303,female,nonblacknonhispanic,BA,1980,97500,BA or more
307,female,nonblacknonhispanic,MA,1980,132000,BA or more
309,female,nonblacknonhispanic,BA,1981,103000,BA or more
311,male,nonblacknonhispanic,BA,1982,170000,BA or more
313,female,nonblacknonhispanic,BA,1981,364000,BA or more
315,female,nonblacknonhispanic,HS,1982,22000,BA or more
320,female,nonblacknonhispanic,BA,1982,114214,BA or more
321,male,nonblacknonhispanic,HS,1981,150000,HS
322,female,nonblacknonhispanic,MA,1982,0,Some college
323,male,nonblacknonhispanic,HS,1980,599728,Some college
327,female,nonblacknonhispanic,MA,1983,599728,BA or more
331,female,nonblacknonhispanic,BA,1980,54000,HS
332,male,nonblacknonhispanic,MA,1980,217000,BA or more
333,female,nonblacknonhispanic,HS,1982,108000,BA or more
335,female,nonblacknonhispanic,BA,1980,171993,HS
336,male,black,MA,1982,210000,BA or more
337,male,nonblacknonhispanic,HS,1983,227500,BA or more
340,male,nonblacknonhispanic,MA,1981,80000,less than HS
341,male,nonblacknonhispanic,BA,1983,208286,less than HS
342,male,nonblacknonhispanic,GED,1982,117786,BA or more
343,male,nonblacknonhispanic,GED,1984,0,BA or more
346,male,hispanic,HS,1984,130000,HS
347,male,hispanic,HS,1981,67000,less than HS
348,male,hispanic,None,1983,51086,less than HS
349,male,hispanic,HS,1984,53286,less than HS
354,female,hispanic,HS,1982,175000,less than HS
355,female,hispanic,HS,1980,333514,less than HS
356,female,hispanic,HS,1982,70000,less than HS
357,male,hispanic,HS,1981,75000,less than HS
362,female,hispanic,HS,1981,52486,less than HS
363,female,hispanic,HS,1983,108000,less than HS
366,female,hispanic,BA,1980,99806,less than HS
367,male,hispanic,AA,1981,100000,less than HS
368,female,hispanic,AA,1981,52000,less than HS
371,female,hispanic,None,1982,18000,HS
372,male,hispanic,HS,1983,74000,HS
373,female,hispanic,HS,1984,93071,HS
374,female,nonblacknonhispanic,HS,1981,89981,Some college
376,male,black,HS,1981,148000,HS
377,female,black,HS,1984,20000,HS
378,male,black,HS,1984,171000,BA or more
382,female,nonblacknonhispanic,BA,1980,99500,Some college
385,male,hispanic,HS,1981,75000,less than HS
388,female,hispanic,None,1982,7500,less than HS
